OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDeveloment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,HS006,,"The Travis Perkins Building, 149-157 Harrow Road",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=HS006,OSGB36,526528.806,181646.6979,0.098631228,unknown ownership,,not permissioned,,,"
",,150,Proposals site in Westminster’s City Plan,,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,11/04623/FULL,,"Paddington Sorting and Delivery Office, 31 London Street, W2 1AA",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=11/04623/FULL,OSGB36,526718.4679,181322.213,0.37135525,unknown ownership,yes,permissioned,full planning permission,19/02/2015,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LLP4JRRP01R00,,141,"Retention of 1907 facade to London Street and demolition of rear buildings to allow the erection of an eight storey office (Class B1) building with ground floor retail and restaurant uses (Classes A1 and A3) and passive provision for the potential future extension of the Bakerloo Line underground ticket hall, the erection of two residential buildings seven to nine storeys in height between Winsland Street and Winsland Mews to provide 94 residential units (Class C3). Demolition of pedestrian link across Winsland Mews, conversion of building between Winsland Mews and fronting Praed Street, the erection of a roof extension, the infilling of the colonnade and re-cladding works to provide 34 residential units (Class C3) with ground floor retail use (Class A1). Provision of 67 parking spaces, other associated work concerned with landscaping, servicing, plant accommodation and providing access.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LLP4JRRP01R00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/12315/P3JPA,,"6 London Street
London
W2 1HL
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/12315/P3JPA,OSGB36,526745.8071,181212.3101,0.007134625,unknown ownership,yes,permissioned,full planning permission,17/02/2017,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIXXT4RP02T00,,14,"Change of use from office (Class B1(a) to residential (Class C3) on lower ground, first, second, first, second, third and attic storeys to create 14 studio flats. Application for prior approval under Class O of the Town and Country Planning (General Permitted Development) (England) Order 2015 (as amended 2016 )",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIXXT4RP02T00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,HS005,,"St Mary's Hospital, Praed Street, W2",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=HS005,OSGB36,526799.7671,181390.8842,0.631098987,unknown ownership,,not permissioned,,,,,58,Proposals site in Westminster’s City Plan,,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/11562/FULL,,"Development Site At 14 To 17
Paddington Green
London

",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/11562/FULL,OSGB36,526839.9135,181772.0727,0.013042375,unknown ownership,,pending decision,,,,,178,"Demolition and redevelopment of 14-16 Paddington Green; alteration and partial demolition of 17 Paddington Green; development of land to the east and south of 14-17 Paddington Green (part of site known as 'West End Green') to provide buildings ranging between 4 and 14 upper storeys to provide up to 200 residential units, with associated landscaping, basement car and cycle parking and servicing provision.  This application is accompanied by an Environmental Impact Assessment (Linked to application RN: 16/11563/LBC)",,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/09769/FULL,,"Dora House, 60 St John's Wood Road, London, NW8 7HN",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/09769/FULL,OSGB36,527083.7963,182740.4684,0.169869609,unknown ownership,yes,permissioned,full planning permission,05/07/2017,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NWIFMLRP28200,,42,"Demolition of the existing building and redevelopment to provide two buildings: Building 1 comprising one basement level, ground and twelve upper floors containing car parking, plant, affordable sheltered accommodation and market sheltered accommodation (Class C3), ancillary communal areas; Building 2 comprising three basement levels, ground and nine upper floors containing plant, car parking, residential accommodation (Class C3) and ancillary leisure; reconfigured vehicular and pedestrian access together with landscaping and other works in association with the development.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NWIFMLRP28200,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,HS002,,Lttle Church Street,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=HS002,OSGB36,527090.4173,182115.8231,0.004772875,unknown ownership,,not permissioned,,,,,20,"The Little Church Street site currently comprises 45 homes. If redeveloped, the site has the potential to deliver around 65 new homes.",,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/00492/FULL,,"Chesterfield Lodge
75 St John's Wood Terrace
London
NW8 6LF
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/00492/FULL,OSGB36,527190.4552,183493.6064,0.088810542,unknown ownership,yes,permissioned,full planning permission,30/01/2017,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O19UKARPFN100,,25,Demolition of existing building and the erection of a four storey building to accommodate 44 residential dwellings (Class C3) and associated works including landscaping and the provision of car parking.,,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O19UKARPFN100,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,HS004,,"Repeater Station, 2 Ashbridge Street, London, NW8 8DS",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=HS004,OSGB36,527238.2638,182060.3107,0.036968,unknown ownership,,not permissioned,,,,,25,The masterplan now proposes a development on this site to deliver around 25 new affordable homes.,,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/07461/FULL,,"Development At 112-130 Edgware Road, 136-138 George Street And 24 Nutford Place, London, W1H 5YQ",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/07461/FULL,OSGB36,527472.3035,181302.9748,0.08662337,unknown ownership,yes,permissioned,full planning permission,22/05/2015,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N9HRVVRPJ3G00,,16,"Demolition of existing buildings comprising street block bounded by Edgware Road, George Street, Forset Street and Nutford Place and redevelopment by erection of a part eight, part nine storey building with roof level plant room, two storey basement containing car parking, cycle storage and other ancillary floorspace to provide up to 24 residential units (Class C3), offices (Class B1) and retail (Class A1) accommodation. Associated external works and landscaping.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N9HRVVRPJ3G00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17/06973/FULL,,"1-18 York Terrace East
London
NW1 4PT
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17/06973/FULL,OSGB36,528263.2443,182161.0827,0.014796982,unknown ownership,,pending decision,,,,,13,"Use of buildings as 13 single family dwellings ( Class C3); removal and replacement of roof, floors, non original stairs; retention of all facades and spine walls and reinstatement of the properties as individual dwellings; excavation of an additional basement beneath existing buildings and extending underneath the rear gardens facing Regents Park. Linked to 17/06974/LBC",,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/09461/FULL,,"103-131 Queensway, 8-16 Moscow Road, 1,3,4a ,6 Salem Road & 24-32 Queens Mews W2",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/09461/FULL,OSGB36,525818.4405,180905.6569,0.586498065,unknown ownership,,pending decision,,,,,21,"Redevelopment comprising four phases: (i) Demolition of 127A-131 Queensway and replacement with a 5 storey plus basement building to provide ground and basement A1 and A3 units and 12 flats on the upper floors. use of first floor of Nos.115a, 117 and 119 Queensway as dentists surgery (Class D1) (relocated from No.129) and associated alterations to 103-131 Queensway, including replacement of shop fronts, demolition and replacement of 4th floor level of Nos.123-127 to provide 3 reconfigured flats at third floor level and 3 new flat at fourth floor level. Associated public realm improvement comprising widening of footpath of public highway outside Nos.127A-131 Queensway by setting back of shop units. (ii) Erection of mansard roof extensions to Nos.24-32 Queen's Mews and use as 3 flats at No.24-25 and 7 duplex flats over first and second floors at Nos.26-32. (iii) Demolition Nos.8-14 Moscow Road and 4a Salam Road and replacement with new building ranging between 4 and 6 storeys to Moscow Road, Salam Road and Queens Mews incorporating the existing building at No.16 Moscow Road and including basement car parking to provide an A1/A2/A3 unit at ground floor level to Moscow Road and 27 flats. Use of Nos.1-3 Salam Road as 3 dwellinghouses, with associated alterations, including addition of third floor roof extension and side extension. Alterations to the rear of Nos.103-131 Queensway along Queens Mews, including provision of green wall and provision of new public realm in Queens Mews. (iv) Erection of single storey roof extension to No.6 Salem Road for Class B1 use. Together with associated works including mechanical plant, cycle storage and waste storage, for each phase.",,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/12019/P3JPA,,Tresco House Lisson Grove NW1,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/12019/P3JPA,OSGB36,527301.5769,182053.4154,0.048258875,unknown ownership,yes,permissioned,full planning permission,16/02/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZTE5ORP00400,,33,Use from (Class B1(a)) offices to 33 flats (Class C3) residential use.,,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZTE5ORP00400,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17/07478/FULL,,"2 - 8 Rutland Gate
London
SW7 1PJ
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17/07478/FULL,OSGB36,527205.5631,179657.9833,0.07044414,unknown ownership,,pending decision,,,,,13,"Demolition behind retained front and side facades, excavation to create sub-basement level, replacement building including rear and side extension incorporating car lift, remodelling of the fourth floor and fifth floor mansard roof storey, installation of plant machinery and external alterations to the front, side and rear all in connection with the use of the building as 13 self-contained residential flats.",,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,HS001,,48-56 Ebury Bridge Road SW1,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=HS001,OSGB36,528490.7241,178340.9358,0.046927017,unknown ownership,,not permissioned,,,,,0,Petrol station with possible flats above,,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/06445/FULL,,"32 Buckingham Palace Road, 
London, 
SW1W 0RE
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/06445/FULL,OSGB36,528884.3779,179232.9144,0.009037245,unknown ownership,yes,permissioned,full planning permission,21/04/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRKQSMRP0C400,,22,"Construction of mansard roof extension at fourth floor level and use of first, second, third and new fourth floor to provide 23 intermediate affordable housing units (Class C3). Use of the ground and basement floors for retail (Class A1/A3) including replacement shopfronts. External works to the front, rear and side elevations and other associated works.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRKQSMRP0C400,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/05134/FULL,,"4 - 5 Buckingham Gate, London, SW1E 6JP",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/05134/FULL,OSGB36,529086.0811,179490.4247,0.061517983,unknown ownership,yes,permissioned,full planning permission,07/09/2015,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NPORNHRPHWR00,,11,"Demolition behind retained front and side facades on Buckingham Gate and redevelopment to provide eleven residential flats including excavation to provide additional basement and sub-basement levels. External alterations including alterations to windows, installation of plant equipment at roof level to provide additional residential accommodation and creation of terraces on Stafford Place frontage at rear second, third and fifth floor level together with vehicular crossover from Stafford Way and associated highway works.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NPORNHRPHWR00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/07801/FULL,,"Site At 18-19
Buckingham Gate
London

",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/07801/FULL,OSGB36,529175.6663,179480.5203,0.049623945,unknown ownership,yes,permissioned,full planning permission,14/02/2017,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OBY30ARPGT900,,13,"Demolition of 18 and 19 Buckingham Gate and their replacement with a building comprising sub-basement, basement and seven upper floors, including the creation of terraces at first, fourth, fifth, sixth and roof levels; off-street car parking and car lift accessed from Catherine Place and mechanical plant at basement and roof levels; in association with the use of the building as 13 residential flats (Class C3) (7 x 2 bed, 5 x 3 bed and 1 x 4 bed flats).",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OBY30ARPGT900,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/06224/FULL,,"1-2 Castle Lane, 
London, 
SW1E 6DR
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/06224/FULL,OSGB36,529291.6367,179363.4749,0.037165209,unknown ownership,yes,permissioned,full planning permission,06/07/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NR89WKRPJIQ00,,13,"Use of building as 13 residential units (11 private units and 2 affordable units) (Class C3), minor alterations to windows and doors and to existing lightwells at basement level.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NR89WKRPJIQ00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/08430/FULL,,"Buckingham Court, 78 Buckingham Gate, London, SW1E 6PE",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/08430/FULL,OSGB36,529342.3483,179460.0546,0.03704487,unknown ownership,yes,permissioned,full planning permission,26/11/2014,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NAQ7QFRPKAI00,,11,"Use of premises at part ground, first and second floor as 11 residential apartments (Class C3); extensions at first and second floor level to rear with associated external alterations and the provision of new and replacement air conditioning units together with other associated works.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NAQ7QFRPKAI00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/06951/FULL,,"1 Vincent Square
London
SW1P 2PN
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/06951/FULL,OSGB36,529724.546,178860.1983,0.04508503,unknown ownership,yes,permissioned,full planning permission,31/10/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NSBJSFRPKK800,,27,"Use of the building to provide 27 residential dwellings.  Alterations at basement level to provide five car parking spaces, alterations to the rooftop plant areas and elevations at fifth floor level.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NSBJSFRPKK800,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/08453/FULL,,"21 Dartmouth Street, London, SW1H 9BP
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/08453/FULL,OSGB36,529786.7106,179592.74,0.090222776,unknown ownership,yes,permissioned,full planning permission,09/04/2015,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NAWP02RP0B100,,47,Use of the property for 47 residential units (Class C3); alterations to floor level at lower ground floor level and creation of vehicular access from Dartmouth Street associated with the provision of car parking; use of flat roofs at upper floor levels for balconies; alterations to windows; installation of plant at roof level; and associated external alterations.,,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NAWP02RP0B100,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,HS007,,"Tottenham Court Road Station (Eastern Ticket Hall): Site bounded by 1-23 Oxford Street,1-6 Falconbery Court, 157-165 Charing Cross Road including the Astoria Theatre - the Astoria site, WC2",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=HS007,OSGB36,529800.9848,181306.2655,0.453305013,unknown ownership,,not permissioned,,,,,30,Crossrail site.,,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/07778/FULL,,"32-34 Great Peter Street, 
London, 
SW1P 2DB
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/07778/FULL,OSGB36,529797.3653,179223.7251,0.047024863,unknown ownership,yes,permissioned,full planning permission,29/04/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NTE27ARP01R00,,21,"Demolition of the existing building and redevelopment of the site to provide 21 residential units (15 x private residential units and 6 x affordable residential units) (Class C3) in a new eight storey building (basement with sub basement, ground plus seven upper floors) with the provision of car parking, plant and associated works.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NTE27ARP01R00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,13/10511/FULL,,"8-10 Great George Street, London, SW1P 3AE",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=13/10511/FULL,OSGB36,529994.4327,179664.0275,0.0767465,unknown ownership,yes,permissioned,full planning permission,08/09/2014,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MV4A2LRP0B100,,21,"Use of part ground floor and upper floors as 21 residential flats (Class C3), use of part lower ground floor and part ground floor as restaurant (Class A3) and use of part basement and part lower ground floor for residential parking. External alterations including the removal of rooftop plant enclosures and replacement with a single storey extension, remodelling of the Little Sanctuary elevation and introduction of balconies to lightwells.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MV4A2LRP0B100,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,HS003,,"Queen Alexander Military Hospital, John Islip Street, London",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=HS003,OSGB36,530098.874,178681.4402,0.746079009,unknown ownership,,not permissioned,,,,,150,"Inside CAZ, Thames Policy Area and Millbank conservation area. Within the Priority Area for Additional Green Open Space for Play. Proposals for residential, cultural and office use.",,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/10951/FULL,,"5 Strand
London
WC2N 5AF
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/10951/FULL,OSGB36,530152.8347,180434.0248,0.083240875,unknown ownership,,pending decision,,,,,26,"Demolition of existing building and construction of replacement mixed use building, comprising retail (Class A1), restaurant (Class A3), office (Class B1) and residential (Class C3) floorspace across two basements, lower ground and ground floors and 11 upper floors, and associated alterations.",,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/09548/FULL,,"Old War Office
Whitehall
London
SW1A 2EU
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/09548/FULL,OSGB36,530191.138,180173.3963,0.987896375,unknown ownership,yes,permissioned,full planning permission,10/07/2017,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEKQ6JRP06A00,,88,"Alterations to the existing building including the creation of new pedestrian and vehicular entrances; alterations to bottle balustrades and parapets; extensions to create three additional storeys at fifth, sixth and seventh floors; extension of the existing basement to create two additional basement storeys; partial demolition and reconstruction of the central wing; demolition, relocation and reconstruction of the facades comprising the Triangular Courtyard incorporating extensions to the existing building at ground to fourth floors; external alterations to the facades comprising the Quadrangle including the creation of new pedestrian entrances; landscaping works to the Quadrangle and Triangular Courtyard; creation of external terraces at fourth, fifth, sixth and seventh floor levels; addition of entrance canopies; public realm works including alterations to security walls and bollards and the removal and replacement of street trees; all in connection with the change of use of the building from offices (Class B1) to a hotel (Class C1) comprising up to 125 hotel bedrooms/suites with flexible hotel/retail/restaurant/bar use at part ground floor (Class C1/A1/A3/A4), flexible hotel/restaurant use at part lower ground, part ground and part second floors (Class C1/A3); flexible hotel/bar use at part fifth and part sixth floors (Class C1/A4); flexible retail, leisure, restaurant or bar use at part ground floor (Class A1/D2/C1/A3/A4), leisure/spa facilities within the basement levels and part of the lower ground floor (Class D2/C1) ancillary ballroom, event space and meeting rooms, food and beverage facilities, back of house facilities and associated car and cycle parking and servicing facilities; together with the creation of up to 88 residential dwellings (Class C3) with ancillary communal amenities, associated car and cycle parking and servicing facilities, and other associated works.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEKQ6JRP06A00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/06315/FULL,,40 Long Acre London,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/06315/FULL,OSGB36,530261.4129,181005.9335,0.042558625,unknown ownership,yes,permissioned,full planning permission,24/12/2015,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRFON5RPJNN00,,13,"Use of part ground and first to fourth floors for residential purposes to provide 13 flats (Class C3).  Erection of a single storey roof extension, terraces at second and fifth floor level and installation of skylights, photovoltaic panels and plant enclosure at roof level.  Associated external alterations.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRFON5RPJNN00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,13/09608/FULL,,"Walter House, 418-422 Strand, London, WC2R 0PT",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=13/09608/FULL,OSGB36,530339.6852,180668.9488,0.058029797,unknown ownership,yes,permissioned,full planning permission,09/12/2014,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MTQ8JNRP0B100,,23,"Demolition of 50 Bedford Street and erection of a five storey building with retail (Class A1) use at ground and part basement level and residential use (Class C3) on all upper floors.  Use of the upper floors and part ground floor of Walter House as residential use (Class C3) and part ground floor to retail use (Class A1) and use of part basement for residential use (Class C3), relocation of the existing dentist surgery (Class D1) to another part of the basement.  Extensions at fifth floor level and to the existing mansard roof at roof level. Installation of plant and creation of private terraces and associated alterations.  [Site includes 50 Bedford Street and Walter House, 418-422 Strand].",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MTQ8JNRP0B100,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/11265/FULL,,"Hudson House, 
8 Tavistock Street, 
London, 
WC2E 7PE
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/11265/FULL,OSGB36,530437.1324,180801.6472,0.19307819,unknown ownership,yes,permissioned,full planning permission,20/01/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NEZ3GJRP03500,,10,Use of building as 10 residential units (Class C3). Erection of new roof level extension (including plant room) and use of part of main roof as a terrace.,,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NEZ3GJRP03500,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/12156/FULL,,"41 Kingsway
London
WC2B 6TP",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/12156/FULL,OSGB36,530629.9215,181192.0096,0.020391875,unknown ownership,yes,permissioned,full planning permission,05/04/2017,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIJKLTRPJMS00,,14,"Use of part basement and part ground floor as a restaurant (Class A3) and use of part ground and first to seventh floors to provide 14 residential flats (Class C3). External alterations including altered ground facade, rear extension within rear lightwell between second and seventh floor levels, extension and new dormer windows at roof level, installation of mechanical plant at seventh floor level, and installation of an extract duct to the rear elevation.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIJKLTRPJMS00,5-15 House Supply,30/11/2017,30/11/2017
