OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority1,PlanningAuthority2,PlanningAuthority3
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00080,,"298-300 High Road, NW10 2EN",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.239620268,51.54901836,0.05,not owned by a public authority,Yes,permissioned,full planning permission,23/10/2015,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202086364_1,,8,"Demolition of existing building and erection of a part 3-storey and part- 4 storey building comprising:
140m2 retail (A1) space at ground floor level fronting High Road, Willesden (41sqm of which is for servicing)
8 residential units (1 x studio, 3 x one-bed, 4 x two-bed) with entrances facing Dudden Hill Lane; with associated rear outdoor communal and private amenity spaces; 12 secure cycle parking spaces; and refuse and recycling bin stores

""CAR FREE DEVELOPMENT"".","140m2 retail (A1) space at ground floor level fronting High Road, Willesden (41sqm of which is for servicing)",,8,8,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00081,,"Quadrant Business Centre, 135 Salusbury Road NW6 7RJ",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.208190084,51.53994208,0.09,unknown ownership,Yes,permissioned,planning permission granted under an order,09/11/2015,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202142790_1&activeTab=summary&previousCaseUprn=202142790&previousCaseNumber=PROPLPI_202142790_1&keyVal=DCAPR_123748,,12,Prior approval for change of use from office (Use Class B1) to residential (Use Class C3),,,12,12,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00082,,"531-533 High Road, HA0 2DJ",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.299462749,51.55180526,0.03,unknown ownership,Yes,permissioned,planning permission granted under an order,16/11/2015,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202086982_1&activeTab=summary&previousCaseUprn=202086982&previousCaseNumber=PROPLPI_202086982_1&keyVal=DCAPR_124022,,5,"Prior approval for change of use of first, second and third floors from office (Use Class B1) to residential (Use Class C3) consisting of 5 self-contained flats.",,,5,5,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00083,,"Land East Of Victoria Care Centre, Acton Lane, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.267105451,51.5306188,0.26,not owned by a public authority,Yes,permissioned,outline planning permission,17/03/2016,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2021535146_1,,103,Outline planning permission for erection six storey building comprising 103 self-contained one bed apartments as supported housing units (Use Class C2) with associated community facilities,,,103,103,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00084,,"2 Buller Road, NW10 5BT",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.21698216,51.53035996,0.12,unknown ownership,Yes,permissioned,full planning permission,18/05/2016,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202124571_1&activeTab=summary&previousCaseUprn=202124571&previousCaseNumber=PROPLPI_202124571_1&keyVal=DCAPR_124978,,7,"Demolition of the roofing merchants and storage depot site and erection of 7 residential dwellings (1 x 4bed and 6 x 3bed) with associated car and cycle parking spaces, bin stores, landscaping and amenity space",,,7,7,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00085,,"1 Draycott Avenue, HA3 0BW",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.314441712,51.58280251,0.1,unknown ownership,Yes,permissioned,full planning permission,26/10/2016,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202104261_1,,9,"Demolition of existing detached dwellinghouse and erection of a part four storey, part three storey part 2-storey apartment block providing 1 x 3 bed; 5 x 2 bed and 3 x 1 bed self contained flats with associated basement level car and cycle parking, refuse storage, amenity space and landscaping",,,9,9,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00086,,"5 Chippenham Gardens, NW6 5LH",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.196487372,51.52846699,0.24,not owned by a public authority,Yes,permissioned,planning permission granted under an order,05/08/2016,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202115367_1&activeTab=summary&previousCaseUprn=202115367&previousCaseNumber=PROPLPI_202115367_1&keyVal=DCAPR_127158,,52,"Demolition of existing buildings at 5-9 Chippenham Gardens, Kilburn Park Post Office and 4-26 Stuart Road (even numbers) and construction of part-four, -five and -six storey building comprising 52 self contained flats (24 x 1 bed, 19 x 2 bed and 9 x 3 bed) with associated highway works, hard and soft landscaping, cycle and refuse provision and alterations to Chippenham Gardens",,,52,52,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00087,,"65 Norman House, Wembley Hill Road, HA9 8DP",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.286720162,51.55610926,0.05,unknown ownership,Yes,permissioned,planning permission granted under an order,01/06/2016,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202032502_1,,10,"Prior approval for change of use of the ground, first and second floors of Norman House from Office (use class B1) into residential (use class C3) involving the creation of 10 residential units with associated internal and external alterations",,,10,10,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00088,,"Oxgate Farm Works, Coles Green Road, NW2 7EY",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.234846453,51.56697499,0.15,unknown ownership,Yes,permissioned,full planning permission,22/02/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2021533991_1,,9,"Demolition of industrial buildings (Use class B2/B8) and erection of a three storey building providing a mixed use development comprising offices (Use class B1a) on the ground level and 9 self-contained flats (2 x 2bed, 5 x 2bed and 2 x 3bed) on the first and second floors, with associated car and cycle parking spaces, bin stores, landscaping and amenity space (as amended)  and subject to a Deed of Agreement dated 22 February 2017 under Section 106 of the Town and Country Planning Act 1990, as amended.",offices (Use class B1a) on the ground level,,9,9,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00089,,"6 Nicoll Road, NW10 9AB",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.250437608,51.5366119,0.05,unknown ownership,Yes,permissioned,full planning permission,24/10/2016,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202201271_1&activeTab=summary&previousCaseUprn=202201271&previousCaseNumber=PROPLPI_202201271_1&keyVal=DCAPR_128269,,8,"Removal of external staircase and erection of first and second floor rear extension, alterations to main roof to include rear dormer windows and 1 additional dormer window to the front, and conversion of property into 8 dwellings (4 x 1bed, 2 x 2 bed and 2 x 3 bed) with associated cycle parking spaces, bin stores",,,8,8,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00090,,"291 High Road, NW10 2JY",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.238822801,51.54804363,0.04,unknown ownership,Yes,permissioned,planning permission granted under an order,18/08/2016,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2021534554_1,,10,Prior approval for change of use from B8 (Storage and Distribution) to C3 (Residential),,,10,10,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00091,,"85-89 Ealing Road, HA0 4BN",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.297169231,51.54676796,0.1,unknown ownership,Yes,permissioned,full planning permission,09/06/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202102460_1,,9,"Demolition of the existing buildings (85-89 Ealing Road) and the construction of a 4-storey mixed-use development consisting of commercial uses within retail, financial/professional services and restaurant (Use classes A1, A2, A3) on the basement, ground and first floors and 9 self-contained flats (1 x 1bed, 4 x 2bed, 4 x 3bed) on second and third floors, with associated parking and landscaping.","commercial uses within retail, financial/professional services and restaurant (Use classes A1, A2, A3) on the basement, ground and first floors",,9,9,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00092,,"1-24 INC The Elms, Nicoll Road, NW10 9AA",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.250112539,51.53608536,0.15,unknown ownership,Yes,permissioned,full planning permission,17/11/2016,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202099164_1&activeTab=summary&previousCaseUprn=202099164&previousCaseNumber=PROPLPI_202099164_1&keyVal=DCAPR_129567,,8,"Construction of an additional floor to existing block of flats to provide 8 additional self-contained flats (5 x 1bed and 3 x 2bed) with associated car and cycle parking spaces, bin stores, landscaping and associated works",,,8,8,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00093,,"211 Willesden Lane, NW6 7YR",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.214930742,51.54514623,0.09,unknown ownership,Yes,permissioned,full planning permission,22/08/2016,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202202794_1,,6,"Demolition of existing dwelling and erection of a new 4 storey building with a basement to provide 6 self-contained flats (3 x 1bed, 1 x 2bed and 2 x 3bed) with associated car and cycle parking space, bin stores and amenity space",,,6,6,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00094,,"111 Salusbury Road, NW6 6RG",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.206303298,51.53754627,0.15,not owned by a public authority,Yes,permissioned,full planning permission,15/12/2016,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202046254_1,,8,"Erection of a fourth and fifth storey over existing three-storey office building to create 8 self-contained flats (comprising 6 No. 2-bedroom flats and 2 No. 3-bedroom) with associated new street level entrance to the front and secondary entrance to the side, new lift and stairs along with glazed link bridge, amendments to car parking arrangements and provision for refuse and cycle stores to the rear",,,8,8,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00095,,"1 Bridgehill Close, HA0 1EP",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.302217591,51.54194216,0.09,unknown ownership,Yes,permissioned,full planning permission,08/12/2016,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202126813_1,,9,"Demolish existing building (containing office and residential units) and replace with a new part two storey part three storey building containing 9 flats (6x2 bedroom flats, 2x1 bedroom flats and 1 studio flat).",,,9,9,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00096,,"Peel Precinct, 97-112 Carlton House, Canterbury Terrace, 8-14 Neville Close, 2 Canterbury Road & Peel Site Garages, NW6",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.199074347,51.53337265,1.45,mixed ownership,Yes,permissioned,full planning permission,08/09/2017,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202022995_1&activeTab=summary&previousCaseUprn=202022995&previousCaseNumber=PROPLPI_202022995_1&keyVal=DCAPR_130364,,226,"Hybrid Application for the proposed redevelopment of the Peel site comprising Peel Precinct, 97-112 Carlton House, 8-14 Neville Close, 2 Canterbury Road & Peel site garages:

•Full planning application for the demolition of 2A Canterbury Road, 1-7 and 15-33 Peel Precinct and 8-14 Neville Close, and erection of four buildings (A, B, C and E) ranging between four to 16 storeys, plus part basement comprising of 38 replacement affordable homes for existing South Kilburn secure tenants, 64 private sale units (38 x 1-bed, 47 x 2-bed, 13 x 3-bed and 4 x 4-bed units) new health centre (Use Class D1) with flexible first floor space (Classes A1/D1/D2), 3no A-class retail units at ground floor, associated landscaping, highways and public realm improvements (including new public space), private open space, associated car parking, cycle parking and servicing provision.

• Outline planning application with reserved matters (around Appearance, Landscaping, and Scale) for the demolition of 97-112 Carlton House, 34-57 Peel Precinct and Peel site garages, and erection of three buildings (D, F and G) ranging in height between up to 4 and up to 8 storeys provide up to 124 residential units comprising of 4 Affordable Housing units, and up to 120 private units, with associated landscaping, private open space, and cycle parking.

And subject to a Deed of Agreement under Section 106 of the Town and Country Planning Act 1990, as amended","new health centre (Use Class D1) with flexible first floor space (Classes A1/D1/D2), 3no A-class retail units at ground floor",,226,226,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00097,,"750-756 Harrow Road, NW10 5LE",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.21650238,51.52837123,0.08,unknown ownership,Yes,permissioned,full planning permission,04/04/2014,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202201573_1,,17,"Demolition of the existing buildings on site and redevelopment for a mixed use development comprising two buildings of 5 storey (plus basement) and 2 storeys, to provide 17 residential (Class C3) units and 461sqm (GIA) of commercial (Class B1) floor space over ground and basement levels. Ancillary residential space is provided at ground and basement levels, and includes residents' amenity space, cycle and refuse stores, and enclosed plant. A separate commercial refuse store and cycle store are provided at ground floor level  and subject to a Deed of Agreement dated 20 March 2017 under Section 106 of the Town and Country Planning Act 1990, as amended",461sqm (GIA) of commercial (Class B1) floor space over ground and basement levels,,17,17,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00098,,"633-635 Harrow Road, HA0 2ET",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.308531259,51.55122945,0.09,unknown ownership,Yes,permissioned,full planning permission,27/04/2017,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202089554_1&activeTab=summary&previousCaseUprn=202089554&previousCaseNumber=PROPLPI_202089554_1&keyVal=DCAPR_130904,,8,"Demolition of Nos 633 and 635 Harrow Road and detached double garage and erection of a new three storey block providing 8 self-contained flats (1 x 1bed, 5 x 2bed and 2 x 3bed) whilst retaining existing vehicular crossovers from Harrow Road and Dalmeny Close, provision for car, cycle and bike parking, bin stores and landscaping",,,8,8,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00099,,"174 Church Road, NW10 9NH",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.249389456,51.54737836,0.02,unknown ownership,Yes,permissioned,full planning permission,23/01/2017,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_130994,,5,"First and second floor rear extension with associated railings and conversion of upper floors from residential (Use class C3) into a hotel (Use class C1) with ancillary manager's accommodation, and ancillary office space on the first floor for the existing public house located on the ground floor",conversion of upper floors from residential (Use class C3) into a hotel (Use class C1),,5,5,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00100,,"9 Burton Road, NW6 7LL",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.19925622,51.54200107,0.02,unknown ownership,Yes,permissioned,full planning permission,13/02/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202006739_1,,5,"Conversion of the existing property into 5 self-contained flats (2 x studio, 2 x 1bed and 1 x 3bed) to also include a rear dormer window, single storey side infill extension, replacement of door and window with new double doors to the ground floor rear elevation and enlargement of rear lightwell",,,5,5,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00101,,"1-16 Greencrest Place, NW2 6HF",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.234740791,51.56146166,0.18,unknown ownership,Yes,permissioned,full planning permission,08/02/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202091894_1,,8,"Extension of existing third floor and erection of a part fourth floor and alterations to ground floor to create an additional 8 flats, a net increase of 7 flats, comprising (1 x 1 bed, 5 x 2 bed, 2 x 3 bed), together with refurbishment of existing block of 16 flats, to provide a total of 23 flats with associated car and cycle provision, bin storage and landscaping",,,8,8,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00102,,"76 Salusbury Road, NW6 6PA",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.206876413,51.53709673,0.07,unknown ownership,Yes,permissioned,full planning permission,02/08/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202046335_1,,9,"Change of use of the 1st, 2nd and part of the ground floor of the public house (Use class A4) to create 9 self-contained flats (2 x 1bed, 3 x 2bed, 2 x 3bed and 2 x 4bed), retention of the ground floor public house including the provision of an ancillary function room together with associated alterations to include erection of a partial third floor, new 2nd floor rear extension, replacement and relocation of some of the windows, insertion of new windows and rooflights, terraces and screening and bin stores  and subject to a Deed of Agreement dated 21 July 2017 under Section 106 of the Town and Country Planning Act 1990, as amended",retention of the ground floor public house including the provision of an ancillary function room,,9,9,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00103,,"47-51 High Street, NW10 4NJ",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.247247088,51.5360964,0.07,unknown ownership,Yes,permissioned,full planning permission,24/03/2017,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202086123_1&activeTab=summary&previousCaseUprn=202086123&previousCaseNumber=PROPLPI_202086123_1&keyVal=DCAPR_131764,,8,"Demolition of existing three storey building and erection of a new four storey building comprising retail unit (Use class A1) on the ground and first floors and 8 self-contained flats (4 x 1bed, 3 x 2bed and 1 x 3bed) on the second and third floors with associated roof terraces, plant area, cycle parking, bin stores and amenity space (car free development)",retail unit (Use class A1) on the ground and first floors,,8,8,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00104,,"61 Craven Park Road, NW10 8SH",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.251810587,51.53896738,0.1,unknown ownership,Yes,permissioned,full planning permission,14/07/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202110795_1,,16,"Redevelopment of vacant site (formerly a working mens club -D2 use class) to residential development (Use class C3) comprising the erection of two four storey blocks of 16 flats, block fronting Craven Park Road with 11 flats (4 x 1bed, 7 x 2bed) and block fronting Nicoll Road with 5 flats (1 x 1bed , 2 x 2bed and 2 x 3bed), with associated cycle parking, bin stores, landscaping, amenity space and re-instatement of drop kerb (car free development)  and subject to a Deed of Agreement dated 13 July 2017 under Section 106 of the Town and Country Planning Act 1990, as amended",,,16,16,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00105,,"15 Bryan Avenue, NW10 2AA",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.227627857,51.54284571,0.05,unknown ownership,Yes,permissioned,full planning permission,01/06/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202125194_1,,6,"Conversion of property into 6 self-contained flats (3 x studios, 1 x 1bed, 1 x 2bed and 1 x 3bed) involving the partial demolition and extension of the existing building to include excavation of a basement level with front and rear lightwell, part one and part two storey rear extension, juliet balconies to the ground floor rear elevation, alterations to the roof and main entrance, and associated car and cycle parking spaces, bin stores, landscaping and amenity space.",,,6,6,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00106,,"Garages Rear Of Glenmore Parade, Ealing Road, HA0",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.297289894,51.54193101,0.15,unknown ownership,Yes,permissioned,full planning permission,25/08/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202094711_1,,5,"Demolition of existing garages adjoining Glenmore Parade shops and erection of a 4 storey mixed-use block comprising two retail units (A1/A2/A3/A4 use) on the ground floor and 5 self-contained flats (4 x 2bed and 1 x 3bed) on the upper floors, with associated landscaping and installation of new vehicular and pedestrian access gate",two retail units (A1/A2/A3/A4 use) on the ground floor,,5,5,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00107,,"57 Draycott Avenue, HA3 0BL",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.312359738,51.57981591,0.07,unknown ownership,Yes,permissioned,full planning permission,27/04/2017,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_132691,,5,"Demolition of existing care home building and erection of a two storey building with a converted loft space and basement level to provide 5 self-contained flats (2 x 3 bed and 3 x 2 bed) with associated car and cycle parking spaces, bin stores, amended drop kerb and landscaping",,,5,5,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00108,,"348 Dollis Hill Lane, NW2 6HL",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.224463638,51.56452125,0.05,unknown ownership,Yes,permissioned,full planning permission,05/05/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202105178_1,,6,"Demolition of the dwellinghouse and detached garage and erection of a 3 storey building comprising 6 self-contained flats (1 x studio, 2 x 1bed, 2 x 2bed and 1 x 3bed) to include blocking of existing and creation of a new vehicular access to the side, car and cycle parking spaces, bin stores, landscaping and amenity space",,,6,6,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00109,,"19 Christchurch Avenue, NW6 7QP",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.206800918,51.54588267,0.06,unknown ownership,Yes,permissioned,full planning permission,25/05/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202115239_1,,5,"Conversion of single dwelling into 5 self-contained flats (2 x studio, 1 x 1bed, 1 x 2bed and 1 x 3bed), with associated refuse storage and cycle parking",,,5,5,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00110,,"The Willows, Honeypot Lane, NW9 9QA",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.283476268,51.59009742,0.26,unknown ownership,Yes,permissioned,full planning permission,26/10/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202084161_1,,50,"Demolition of the existing care home building and redevelopment of the site comprising the erection of a five storey building providing 50 self-contained flats (4 studios, 11 x 1bed, 23 x 2bed and 12 x 3bed) with associated basement level, car and cycle parking space, bin stores, amenity space and landscaping and subject to a Deed of Agreement dated 25 October 2017 under Section 106 of the Town and Country Planning Act 1990, as amended",,,50,50,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00111,,"Drakes Courtyard, Kilburn High Road, NW6 7JR",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.201148327,51.54374893,0.03,unknown ownership,Yes,permissioned,planning permission granted under an order,26/05/2017,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202102708_1&activeTab=summary&previousCaseUprn=202102708&previousCaseNumber=PROPLPI_202102708_1&keyVal=DCAPR_134488,,39,Prior approval for change of use Units 1-2 Drakes Courtyard from office (Use Class B1) to residential (Use Class C3) involving the creation of 39 studio flats,,,39,39,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00112,,"Dephna House, Neasden Lane, NW10 1PH",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.250107168,51.55451382,0.11,not owned by a public authority,Yes,permissioned,planning permission granted under an order,31/08/2017,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_135216,,19,"Change of use of the 1st, 2nd and 3rds floors from offices (Use class B1a) to residential (Use Class C3), involving the creation of 19 self-contained units (16 x 1bed and 3 x 2bed)",,,19,19,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00113,,"70 Salusbury Road, NW6 6NU",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.206547667,51.53668273,0.08,unknown ownership,Yes,permissioned,planning permission granted under an order,07/09/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202046345_1,,36,Prior Approval to convert the offices (use class B1a) into 36 dwellings (use class C3).,,,36,36,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00114,,"126 High Road, NW10 2PJ",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.232853107,51.54742305,0.02,not owned by a public authority,Yes,permissioned,full planning permission,30/10/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202153393_1,,6,Erection of a first and second floor rear extension including internal alterations to facilitate the conversion of the existing 4 flats into a total of 6 flats (2 x 1bed and 4 x studio),,,6,6,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00115,,"39 Waterloo Road, NW2 7TT",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.235825162,51.56722893,0.08,unknown ownership,Yes,permissioned,planning permission granted under an order,06/11/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202033137_1,,11,Prior approval for change of use of the building from offices (Use class B1a) into residential units (Use class C3) involving the creation of 11 self-contained flats (11 x 2bed flats),,,11,11,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00116,,"Delmore, 18n Brondesbury Park, NW6 7DB",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.215198285,51.54374257,0.07,unknown ownership,Yes,permissioned,full planning permission,02/11/2017,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_136148,,5,"Demolition of conservatory, front porch, bay window and rear dormer window and erection of two storey rear extension with two Juliet balconies at first floor, new front porch, two front bay windows to both ground and first floors, conversion of dwellinghouse into a low-car usage scheme with five self-contained flats (1 x 3 bedroom, 1 x 1 bedroom and 3 x 2 bedroom), provision for cycle parking, hard and soft landscaping and subdivision of rear garden space",,,5,5,,,,15/12/2017,15/12/2017,,,
